STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
US1NYSL0006,St. Lawerence,"HANNAWA FALLS 0.1 SW, NY US",44.6115,-74.9719,"(44.6115, -74.9719)",,171,2018,,,,,,
USC00301664,St. Lawerence,"COLTON 2 N, NY US",44.5842,-74.9573,"(44.5842, -74.9573)",,176.8,2018,601,28,72,127,13,8061
STEUBEN,,,,,,,,,,14,60,131,9,
US1NYST0004,Steuben,"BIG FLATS 2.0 W, NY US",42.1404,-76.9703,"(42.1404, -76.9703)",,285,2018,,,,,,
US1NYST0003,Steuben,"SOUTH CORNING 4.7 S, NY US",42.0567,-77.0485,"(42.0567, -77.0485)",,527.3,2018,,,,,,
US1NYST0030,Steuben,"CORNING 0.7 NNW, NY US",42.1573,-77.06,"(42.1573, -77.06)",,286.2,2018,,,,,,
USC00303983,Steuben,"HORNELL ALMOND DAM, NY US",42.3488,-77.7044,"(42.3488, -77.7044)",,403.9,2018,465,14,60,131,9,7639
USR0000NGAN,Steuben,"GANG MILLS NEW YORK, NY US",42.1,-77.1,"(42.1, -77.1)",,335.3,2018,757,9,28,141,21,6392
USC00301787,Steuben,"CORNING, NY US",42.1341,-77.0691,"(42.1341, -77.0691)",,349.6,2018,360,17,57,127,2,7680
SUFFOLK,,,,,,,,,,2.454545455,18.5,137.8,7.4,
US1NYSF0092,Suffolk,"AMITYVILLE 0.6 NNE, NY US",40.6772,-73.4103,"(40.6772, -73.4103)",,6.1,2018,,,,,,
USC00302151,Suffolk,"DOWLING CEECOM, NY US",40.7211,-73.0908,"(40.7211, -73.0908)",,1.5,2018,,,,,,
USC00300889,Suffolk,"BRIDGEHAMPTON, NY US",40.952,-72.298,"(40.952, -72.298)",,12.8,2018,676,0,14,123,2,5451
USW00054787,Suffolk,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,"(40.73417, -73.41694)",,24.7,2018,1107,0,13,139,10,5018
US1NYSF0114,Suffolk,"FISHERS ISLAND 0.5 NE, NY US",41.2631,-72.0164,"(41.2631, -72.0164)",,13.7,2018,,,,,,
USC00305142,Suffolk,"MATTITUCK, NY US",40.98849,-72.51034,"(40.98849, -72.51034)",,6.1,2018,,,,,,5466
US1NYSF0002,Suffolk,"RIVERHEAD 1.3 SSE, NY US",40.93,-72.67,"(40.93, -72.67)",,13.1,2018,,,,,,
USC00305606,Suffolk,"MOUNT SINAI, NY US",40.933,-73.0191,"(40.933, -73.0191)",,15.2,2018,1418,0,10,157,12,4467
US1NYSF0103,Suffolk,"RIDGE 1.8 SE, NY US",40.8958,-72.8539,"(40.8958, -72.8539)",,21,2018,,,,,,
US1NYSF0100,Suffolk,"PORT JEFFERSON STATION 0.3 SSW, NY US",40.92,-73.0694,"(40.92, -73.0694)",,53.6,2018,,,,,,
USW00094725,Suffolk,"MASSENA INTERNATIONAL AIRPORT, NY US",44.93583,-74.84583,"(44.93583, -74.84583)",,65.2,2018,659,25,62,129,12,
USC00306276,Suffolk,"ORIENT POINT STATE PARK, NY US",41.1321,-72.2584,"(41.1321, -72.2584)",,0.9,2018,1041,0,13,130,1,5005
US1NYSF0044,Suffolk,"SHIRLEY 2.9 N, NY US",40.8374,-72.8668,"(40.8374, -72.8668)",,29.3,2018,,,,,,
USC00307134,Suffolk,"RIVERHEAD RES FARM, NY US",40.9619,-72.7158,"(40.9619, -72.7158)",,30.5,2018,1154,0,13,149,9,4838
USW00004781,Suffolk,"ISLIP LI MACARTHUR AIRPORT, NY US",40.7939,-73.1017,"(40.7939, -73.1017)",,25.6,2018,1084,0,14,142,8,5099
US1NYSF0016,Suffolk,"NORTHPORT 1.6 NNE, NY US",40.9234,-73.3305,"(40.9234, -73.3305)",,25.6,2018,,,,,,
USC00300364,Suffolk,"BAITING HOLLOW, NY US",40.93408,-72.73959,"(40.93408, -72.73959)",,21.3,2018,874,0,16,138,9,5529
US1NYSF0073,Suffolk,"BRIGHTWATERS 0.7 NNW, NY US",40.726,-73.2728,"(40.726, -73.2728)",,10.4,2018,,,,,,
US1NYSF0077,Suffolk,"NESCONSET 1.4 SSW, NY US",40.829,-73.1643,"(40.829, -73.1643)",,31.1,2018,,,,,,
